Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_,Automation_Risk_,Location,Gender_Diversity_
Merchant navy officer,Manufacturing,Decreasing,Low,40220.09,Associate Degree,0,9537,9425,76.32,39.8,Brazil,75.33
Risk analyst,Finance,Increasing,High,84055.21,Bachelors Degree,11,2897,5615,64.05,54.24,Australia,38.36
Health physicist,Education,Decreasing,Moderate,66137.55,Bachelors Degree,13,3912,1777,63.3,62.16,India,25.6
Electronics engineer,Retail,Decreasing,Low,72963.67,Masters Degree,15,5049,3895,35.52,55.65,Canada,44.01
Aeronautical engineer,Finance,Decreasing,Moderate,47125.41,Associate Degree,1,1944,491,100,69.5,India,77.34
"Editor, commissioning",Healthcare,Increasing,Low,60300.35,Bachelors Degree,3,371,5847,73.07,45.49,India,35.07
"Surveyor, mining",Transportation,Decreasing,Moderate,72010.37,Bachelors Degree,13,3999,4717,45.2,83,Germany,23.18
Research scientist (physical sciences),Finance,Increasing,Low,117158.75,Masters Degree,20,410,2217,87.01,41.02,USA,57.86
"Surveyor, land/geomatics",Transportation,Decreasing,Low,92403.56,Masters Degree,11,448,2233,72.12,58.3,UK,38.58
"Physicist, medical",Entertainment,Increasing,Moderate,65436.66,High School,20,3128,6389,47.33,76.84,Canada,35
"Scientist, biomedical",Entertainment,Decreasing,Low,78488.96,Associate Degree,18,1432,1477,44.64,60.28,Brazil,30.87
Human resources officer,Healthcare,Decreasing,Moderate,75381.83,Associate Degree,9,7021,4222,53.67,55.64,UK,24.93
"Administrator, Civil Service",IT,Decreasing,Moderate,92396.22,Bachelors Degree,14,3883,383,100,60.72,Canada,74.88
Music therapist,Manufacturing,Increasing,Low,74531.35,Bachelors Degree,11,2508,9233,33.12,69.13,India,57.59
"Teacher, music",Healthcare,Increasing,Low,83477.77,Associate Degree,16,895,5826,40.26,65.98,Canada,47.53
Agricultural consultant,Manufacturing,Decreasing,High,91915.4,Bachelors Degree,19,2258,1422,47.04,61.09,Brazil,71.17
"Sales professional, IT",Retail,Decreasing,High,87587.16,PhD,15,9804,8080,89.96,45.44,UK,55.21
Lexicographer,Finance,Decreasing,Moderate,72619.26,Associate Degree,10,4504,5258,100,59.15,Canada,36.87
"Research officer, government",Finance,Decreasing,High,100395.54,Masters Degree,14,8090,8769,75.67,68.06,UK,26.47
"Conservator, museum/gallery",Retail,Decreasing,Low,32716.67,Associate Degree,6,7128,9127,51.66,67.84,China,28.04
"Scientist, biomedical",Education,Decreasing,High,28000,High School,2,6153,2427,63.11,79.6,UK,24.15
Seismic interpreter,Retail,Increasing,Low,55762.55,Masters Degree,3,1909,8755,71.23,48.74,Germany,53.94
Chiropractor,Manufacturing,Increasing,High,87603.54,PhD,9,4256,7949,64.09,72.49,USA,39.74
"Programme researcher, broadcasting/film/video",IT,Increasing,Moderate,101203.11,Bachelors Degree,18,3537,6258,86.6,61.04,UK,39.7
Waste management officer,Entertainment,Increasing,High,28143.83,High School,3,1292,4276,79.59,82,UK,26.65
"Scientist, audiological",IT,Increasing,Moderate,67439.24,Associate Degree,3,4396,8910,80.93,56.13,Canada,65.93
Dramatherapist,Healthcare,Decreasing,Low,114885.17,Masters Degree,19,8642,6532,35.14,40.24,Brazil,75.57
"Surveyor, insurance",Manufacturing,Increasing,High,57427,Bachelors Degree,5,4480,9324,58.49,74.04,India,60.05
"Journalist, broadcasting",Entertainment,Increasing,Low,92117.02,Bachelors Degree,16,5178,9941,60.52,60.54,India,44.63
Curator,Education,Decreasing,High,35432.55,High School,13,9434,1669,48.43,91.63,USA,69.74
"Designer, interior/spatial",Manufacturing,Decreasing,Low,28000,High School,1,1736,1143,31.25,71.13,Brazil,41.19
Chiropodist,Manufacturing,Increasing,Moderate,68570.27,PhD,3,635,8502,67.72,58.35,Canada,40.88
Bookseller,IT,Increasing,Moderate,110962.04,PhD,16,595,8149,77.43,33.09,Australia,23.55
"Designer, interior/spatial",Education,Decreasing,Moderate,83648.59,PhD,15,2764,1150,62.02,28.05,UK,79.21
Recycling officer,Manufacturing,Decreasing,High,47693.71,Bachelors Degree,7,3185,1635,48.89,89.46,UK,77.99
Product/process development scientist,Healthcare,Decreasing,Low,100991.16,PhD,9,9737,5861,77,24.51,UK,69.96
Community development worker,Finance,Decreasing,Low,59448.14,High School,7,9718,1494,56.6,79.67,Brazil,73.44
Pathologist,IT,Decreasing,Low,113997.01,Bachelors Degree,19,734,261,68.58,43.26,China,27.25
Secretary/administrator,Retail,Decreasing,Low,54111.79,High School,11,7070,4778,51.02,62.14,Australia,64.07
Charity fundraiser,Retail,Decreasing,Low,96235.91,PhD,20,5873,2324,62.07,42.24,Canada,53.92
Chief Executive Officer,Retail,Increasing,Moderate,68099.57,PhD,6,1503,2494,58.5,34.63,India,34.42
Community arts worker,IT,Decreasing,Moderate,89647.66,Associate Degree,16,6015,5642,88.17,71.41,Canada,56.18
Materials engineer,Manufacturing,Increasing,Low,32579.16,High School,5,269,9409,52.78,63.23,China,42.6
Customer service manager,Retail,Increasing,High,59158.2,High School,16,1492,4397,63.41,79.76,China,51.3
Sports administrator,Retail,Decreasing,Moderate,42591.01,High School,14,5183,6294,52.33,83.31,Germany,40.79
Regulatory affairs officer,IT,Decreasing,Moderate,72601.58,Bachelors Degree,1,6574,1446,100,33.79,India,57.15
Systems developer,Entertainment,Increasing,Moderate,89276.01,Masters Degree,18,3405,7564,42.71,56.73,Brazil,27.82
Oncologist,Education,Decreasing,High,54877.59,Bachelors Degree,12,6301,922,80.23,48.33,USA,37.4
Actor,Manufacturing,Increasing,Low,37524.31,High School,1,2774,5341,50.42,68.79,Germany,48.26
Ophthalmologist,Healthcare,Increasing,Low,63179.44,Bachelors Degree,1,6456,8508,28.67,38.35,Australia,74.17
"Surveyor, building",Entertainment,Decreasing,High,60678.27,Masters Degree,4,9840,9272,22.79,69,USA,50.22
Multimedia programmer,Healthcare,Decreasing,Moderate,60591.45,Bachelors Degree,1,9128,9671,47.49,57.55,UK,78.19
Theatre stage manager,Retail,Decreasing,Low,64077.24,Associate Degree,16,4625,4361,63.27,51.62,Germany,57.63
"Surveyor, insurance",Entertainment,Decreasing,Moderate,36204.46,High School,7,5690,3531,63.65,79.19,USA,30.1
Chartered certified accountant,Education,Decreasing,Low,44501.28,Masters Degree,0,6991,1110,45.54,59.57,Germany,23.41
Heritage manager,Education,Decreasing,High,28000,Associate Degree,0,2678,510,43.53,79.06,Germany,48.85
Clinical biochemist,Entertainment,Increasing,High,49482.05,Masters Degree,4,1343,3823,77.02,69.7,India,31.65
Investment analyst,Entertainment,Decreasing,High,55916.29,Associate Degree,10,8035,4975,29.22,89.55,India,74.4
Biomedical scientist,Entertainment,Decreasing,High,66254.95,PhD,0,5137,2308,50.24,49.98,UK,34.03
Clinical biochemist,Entertainment,Decreasing,High,44380.92,Associate Degree,3,4681,2597,62.9,100,China,62.37
Visual merchandiser,Manufacturing,Increasing,Low,69230.18,High School,18,2919,6721,38.55,67.21,Canada,76.59
Product manager,Transportation,Decreasing,Moderate,49285.54,Bachelors Degree,3,9780,1248,60.97,63.93,India,68.77
Ceramics designer,Healthcare,Decreasing,Moderate,91885.57,Bachelors Degree,19,4467,5691,51.67,51.09,India,63.18
Music tutor,IT,Increasing,Low,92740,PhD,5,7820,7952,83.14,17.48,China,72.2
Stage manager,IT,Increasing,Low,121710.19,PhD,17,234,1972,77.46,35.84,Brazil,41.29
Database administrator,Retail,Decreasing,Low,66064.63,PhD,4,4288,3179,53.84,31.54,Australia,40.27
"Pilot, airline",Retail,Decreasing,High,28191.09,Associate Degree,6,4710,4132,87.34,90.56,UK,33.27
Nature conservation officer,Entertainment,Decreasing,Low,63228.77,High School,11,9219,8717,40.48,55.9,UK,24.3
Psychotherapist,Retail,Decreasing,Low,82028.9,PhD,9,5901,1257,65.08,27.8,China,56.93
"Lighting technician, broadcasting/film/video",Retail,Decreasing,High,53898.49,Bachelors Degree,8,3262,4488,62.51,62.47,USA,30.57
"Designer, furniture",Entertainment,Increasing,High,62185.92,Bachelors Degree,3,7847,9973,96.22,45.02,UK,76.01
Osteopath,Healthcare,Decreasing,Low,97376.9,PhD,7,5798,4236,85.23,8.35,Canada,75.29
Chartered legal executive (England and Wales),Education,Decreasing,Moderate,71056.89,Bachelors Degree,16,8723,7498,30.69,65.54,Canada,34.09
Music therapist,Healthcare,Decreasing,Low,86846.46,PhD,6,2920,1665,70.88,14.08,Australia,23.83
Chief of Staff,Entertainment,Decreasing,High,76337.13,Associate Degree,16,6250,5497,64.79,68.74,Brazil,46.87
Proofreader,Retail,Decreasing,Low,50644.52,PhD,0,4833,3440,80.81,38.88,USA,56.83
Multimedia specialist,Entertainment,Increasing,High,35651.58,High School,2,4521,9552,27.63,93.32,Australia,32.77
Chartered accountant,Retail,Increasing,Low,71325.25,PhD,3,3351,7903,61.11,48.38,Brazil,51.15
"Designer, exhibition/display",Transportation,Decreasing,Low,91440.6,Masters Degree,16,5997,7152,53.52,56.76,Australia,77.6
"Surveyor, hydrographic",Entertainment,Increasing,Low,95585.91,Masters Degree,19,2785,5215,65.35,49.92,Germany,43.53
Financial planner,Retail,Increasing,Low,84161.25,PhD,12,2663,8012,55.89,49.27,Germany,78.16
"Administrator, Civil Service",Manufacturing,Decreasing,Low,80445.6,Masters Degree,8,6909,7810,53.77,55.32,India,39.61
Health and safety adviser,Transportation,Decreasing,Low,63856.06,Masters Degree,2,2707,2303,37.87,38.48,China,39.89
Tree surgeon,Retail,Increasing,Low,28000,High School,0,4094,6588,61.23,63.41,India,35.4
Legal executive,Healthcare,Increasing,Low,82900.43,Bachelors Degree,9,1012,4722,53.72,35.98,Australia,27
Agricultural consultant,Transportation,Increasing,Low,97234.09,Masters Degree,17,379,5601,54.64,46.03,Australia,55.16
Police officer,Transportation,Decreasing,Moderate,82161.77,Masters Degree,8,7285,6317,54.42,48.95,India,39.49
"Engineer, automotive",Transportation,Decreasing,High,42389.83,Bachelors Degree,2,7458,6831,49.85,55.57,Australia,50.09
"Nurse, mental health",Transportation,Decreasing,Moderate,72467.79,High School,17,7474,9504,63.56,78.99,Australia,73.76
Fast food restaurant manager,Retail,Decreasing,High,61741.06,PhD,9,7132,280,69.62,44.77,USA,76.33
"Engineer, building services",Healthcare,Decreasing,Low,77967.33,Associate Degree,15,9281,803,22.79,58.61,Australia,60.1
Pathologist,Transportation,Increasing,Low,111974.97,PhD,19,7102,8557,39.5,41.83,Brazil,54.88
Illustrator,Finance,Increasing,Moderate,100524.68,Bachelors Degree,17,2806,7578,58.16,58.34,USA,61.95
Geophysicist/field seismologist,Entertainment,Decreasing,Moderate,92110.55,Masters Degree,19,6616,3360,22.43,60.87,Australia,22.32
Art therapist,IT,Decreasing,High,136748.48,PhD,17,2650,1627,100,46.9,USA,33.05
Regulatory affairs officer,Manufacturing,Increasing,Moderate,98601.31,Bachelors Degree,15,539,2946,66.45,61.01,USA,58.93
"Designer, fashion/clothing",IT,Increasing,Moderate,98931.57,Bachelors Degree,16,3441,6885,100,39.46,Canada,79.8
"Teacher, special educational needs",Finance,Decreasing,High,107158.74,Masters Degree,19,7517,2886,83.87,74.96,India,72.05
Senior tax professional/tax inspector,Finance,Decreasing,Moderate,43809.35,High School,3,6829,1457,94.03,74.08,Germany,44.07
Research scientist (medical),IT,Decreasing,High,85177.56,Masters Degree,9,7289,639,96.87,44.05,India,58.65
Clothing/textile technologist,Retail,Decreasing,Moderate,36912.98,Masters Degree,0,2905,716,29.57,63.11,Brazil,77.24
Quantity surveyor,IT,Increasing,Low,89508.38,Associate Degree,13,1212,3467,99.81,48.5,India,42.47
Medical secretary,Entertainment,Decreasing,Low,87674.9,PhD,10,5647,5314,54.85,23.48,Brazil,69.8
Wellsite geologist,Manufacturing,Increasing,Moderate,79865.64,Bachelors Degree,17,1116,9509,62.47,61.4,Australia,37.72
Fashion designer,Education,Increasing,Moderate,28000,High School,0,4263,9390,42.68,77.56,Germany,29.67
Tax adviser,Transportation,Increasing,Low,55475.41,Masters Degree,5,7213,8662,36.01,46.88,Australia,22.57
Cytogeneticist,Manufacturing,Increasing,Moderate,63443.11,Associate Degree,10,8250,9944,57.85,62.75,Brazil,65.54
Gaffer,Education,Decreasing,Moderate,62745.27,PhD,4,9164,9283,86.13,43.16,Australia,54.22
Public relations account executive,Entertainment,Decreasing,Low,63043.24,Associate Degree,7,3416,1955,34.7,57.71,USA,69.68
Hospital pharmacist,Healthcare,Decreasing,Low,86780.72,Associate Degree,18,1786,2292,56.18,57.64,China,58.15
Personnel officer,Healthcare,Decreasing,High,71807.66,Bachelors Degree,5,9843,1492,74.85,53.97,India,33.09
Associate Professor,Entertainment,Decreasing,Moderate,77430.9,Associate Degree,19,9550,1775,15.05,71.82,Canada,73.23
Sub,Education,Increasing,Low,71858.02,Masters Degree,9,2727,3182,43.92,30.2,USA,50.69
"Presenter, broadcasting",Education,Decreasing,Low,62684.34,PhD,3,8281,4283,61.94,33.26,UK,72.4
Water engineer,Finance,Decreasing,High,66783.03,Masters Degree,0,8430,8411,82.12,55.28,USA,79.05
"Engineer, building services",Entertainment,Decreasing,High,90359.89,Bachelors Degree,18,9811,1134,46.34,71.1,China,48.32
"Education officer, museum",Manufacturing,Decreasing,Moderate,75031.82,High School,20,4277,221,31.41,76.47,India,44.19
Psychiatrist,Education,Decreasing,Moderate,43001.08,Bachelors Degree,8,9612,2617,57.18,80.51,Australia,65.54
Fine artist,Healthcare,Decreasing,Low,41462.26,High School,3,2190,3782,36.39,70.81,Brazil,37.76
Marine scientist,Retail,Decreasing,Low,69366.86,Masters Degree,8,5379,1430,39.94,58.78,UK,50.84
Learning mentor,Retail,Decreasing,Low,48571.5,PhD,0,3228,535,43.85,50.63,India,20.5
Microbiologist,Finance,Decreasing,High,88865.7,Associate Degree,19,8243,4276,100,72.83,UK,47.44
"Accountant, chartered management",Healthcare,Decreasing,Low,101007.03,Masters Degree,17,1125,483,46.74,38.95,UK,58.67
"Psychologist, clinical",Education,Decreasing,High,79665.25,Masters Degree,17,6313,7080,65.94,57.09,Brazil,34.26
Psychotherapist,Retail,Increasing,High,57943.38,High School,19,1397,5235,41.14,98.66,UK,73.52
Advertising account executive,Retail,Increasing,Moderate,87343.66,PhD,16,3904,6261,37.06,54.53,USA,23.27
"Therapist, drama",Entertainment,Decreasing,Low,78598.12,Masters Degree,6,7660,6599,47.21,40.53,USA,50.76
Air cabin crew,Finance,Decreasing,High,77562.06,Bachelors Degree,15,2616,3205,77.25,61.74,India,31.34
Human resources officer,Finance,Decreasing,Low,109404.76,PhD,12,6547,3044,92.66,33.6,USA,64.26
Food technologist,IT,Decreasing,Low,59570.71,High School,8,9067,8531,82,57.26,UK,40.11
"Producer, television/film/video",IT,Decreasing,Low,95181.18,Masters Degree,10,7598,692,70.53,22.44,Australia,77.75
Fish farm manager,Finance,Decreasing,High,70565.16,Masters Degree,7,7372,3792,100,85.39,India,29.25
"Surveyor, mining",Retail,Increasing,Moderate,41041.28,High School,12,5033,9660,71.44,75.39,Brazil,35.58
Event organiser,Finance,Increasing,High,70215.99,Bachelors Degree,13,222,4725,86.67,69.64,UK,29.28
"Engineer, land",IT,Increasing,Moderate,59297.8,High School,6,185,7372,84.63,60.82,China,20.65
"Chemist, analytical",Entertainment,Increasing,Moderate,65731.47,PhD,2,5639,9731,49.4,48.64,China,27
Occupational psychologist,Manufacturing,Decreasing,Moderate,71847.11,Masters Degree,10,3939,4927,35.78,59.32,Australia,65.64
Equities trader,Entertainment,Increasing,High,48782.82,Associate Degree,5,1655,6165,52.14,88.56,Germany,72.18
Osteopath,Transportation,Decreasing,High,62888.83,Bachelors Degree,6,3676,839,50,62.7,Canada,39.76
Broadcast journalist,Education,Decreasing,High,51631.72,PhD,1,6355,6770,85.95,39.77,USA,50
Oceanographer,Finance,Increasing,Moderate,91651.29,Bachelors Degree,12,427,7188,100,53.88,China,48.53
TEFL teacher,Manufacturing,Increasing,Low,88397.94,Bachelors Degree,16,2457,5651,43.43,51.01,UK,43.24
Site engineer,Finance,Decreasing,Moderate,103056.52,PhD,12,5353,7474,93.87,41.64,Brazil,68.1
"Engineer, structural",Finance,Increasing,High,74950.31,Masters Degree,14,3803,6637,100,91.45,UK,60.64
Government social research officer,Finance,Decreasing,High,72243.25,Masters Degree,3,3013,300,95.75,64.88,China,68.1
Tree surgeon,Transportation,Decreasing,Low,84046.64,Masters Degree,11,7361,3460,64.98,52.64,Australia,44.9
Charity fundraiser,Education,Decreasing,High,30955.47,Bachelors Degree,3,5457,1279,75.33,80.03,Germany,44.08
Retail banker,Retail,Decreasing,High,42415.34,Bachelors Degree,2,8004,8023,76.84,57.85,Brazil,42.61
Print production planner,Manufacturing,Increasing,Moderate,60371.25,PhD,3,1957,5259,67.21,63.22,USA,53.89
Commercial art gallery manager,Transportation,Decreasing,Moderate,94352.88,Bachelors Degree,18,5659,6207,89.58,68.09,Germany,57.34
Clinical cytogeneticist,Healthcare,Decreasing,Low,28000,High School,1,968,690,62.87,80.28,Germany,31.6
Proofreader,IT,Increasing,Low,65102.11,Masters Degree,2,1496,3028,78.3,46.58,India,79.67
Building control surveyor,Education,Increasing,High,61298.96,Bachelors Degree,12,5449,7225,70.77,52.36,Germany,31.24
Clinical embryologist,Education,Increasing,High,31664.57,Associate Degree,5,1387,4010,42.26,74.45,Canada,77.7
"Therapist, horticultural",Retail,Increasing,High,69143.86,Bachelors Degree,16,606,9746,58.18,72.05,USA,21.01
Geophysical data processor,Education,Decreasing,High,34457.81,Masters Degree,3,8414,1320,71.44,68.04,Australia,71.16
Hospital doctor,Entertainment,Increasing,Moderate,84638.5,Masters Degree,15,416,4745,49.59,53.09,Germany,40.62
Ceramics designer,Retail,Decreasing,High,38794.43,High School,11,9613,8790,61.95,82,China,57.78
"Designer, industrial/product",Education,Decreasing,High,42885.05,Bachelors Degree,9,5756,1314,59.44,76.54,India,78.08
Multimedia programmer,Retail,Decreasing,Moderate,62512.38,Bachelors Degree,14,9019,8175,38.43,72.65,Canada,66.47
Electrical engineer,Entertainment,Increasing,Low,79842.24,Masters Degree,14,2807,5336,32.24,61.65,USA,71.14
Naval architect,Manufacturing,Increasing,High,83988.02,Bachelors Degree,17,3525,8439,29.91,62.37,Brazil,39.04
Town planner,Healthcare,Increasing,Low,94261.15,PhD,12,523,9444,57.14,27.97,Germany,34.4
Print production planner,Healthcare,Decreasing,Moderate,58061.34,Associate Degree,9,6086,7291,43.87,59.02,Canada,59.49
Land,IT,Increasing,Low,106894.65,PhD,9,4533,7724,100,28.45,UK,60.82
"Pharmacist, community",IT,Increasing,Low,84649.66,PhD,2,848,3763,89.13,19.58,Australia,20.19
Horticultural consultant,Finance,Increasing,High,89232.51,High School,20,2117,9060,70.35,94.54,Germany,43.98
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low,44975.13,Associate Degree,6,6108,2516,55.88,60.82,USA,53.43
Copy,Education,Increasing,High,41240.07,Masters Degree,5,2278,5928,60.33,67.99,Germany,55.83
Museum/gallery exhibitions officer,Education,Decreasing,Moderate,97174.5,PhD,17,7525,7546,53.46,39.42,Germany,73.89
"Radiographer, diagnostic",Education,Decreasing,High,67375.68,PhD,10,5996,5211,62.49,52.69,China,61.78
"Scientist, forensic",Transportation,Decreasing,Low,98063.62,PhD,12,5972,4850,58.21,27.44,Canada,26.45
Human resources officer,Healthcare,Decreasing,Moderate,100800.91,Bachelors Degree,17,3658,4125,48.78,55.8,Canada,56.82
Art gallery manager,IT,Decreasing,Low,101177.14,Bachelors Degree,14,9952,3009,78.6,51.08,Brazil,70.76
Senior tax professional/tax inspector,IT,Decreasing,Moderate,76302.79,Associate Degree,8,2861,3567,91.02,64.67,Canada,41.95
Call centre manager,Entertainment,Decreasing,Moderate,54365.98,Masters Degree,6,7392,2173,49.63,44.14,China,24.68
English as a second language teacher,Education,Increasing,High,52585.51,Bachelors Degree,15,293,8115,33.79,92.51,UK,77.1
Analytical chemist,Transportation,Decreasing,Low,90729.71,Masters Degree,16,5404,209,56.98,32.77,Brazil,56.26
Public relations account executive,Education,Decreasing,Low,76058.35,Associate Degree,20,6883,2904,51.65,73.43,USA,37.21
Theatre manager,Education,Increasing,Moderate,63607.21,Bachelors Degree,13,2104,3041,45.41,54.41,Brazil,39.4
"Surveyor, land/geomatics",Healthcare,Increasing,Moderate,28000,High School,1,1043,9192,86.63,77.12,Canada,31.92
Lawyer,Finance,Increasing,High,61149.01,Associate Degree,3,542,5913,94.33,63.2,Canada,25.7
Risk analyst,Healthcare,Increasing,Low,63281.19,Masters Degree,3,2397,5479,55.65,36.71,UK,30.8
"Research officer, trade union",Retail,Decreasing,Low,55992.93,Associate Degree,13,8261,8336,41.99,70.73,China,36.54
Museum/gallery curator,Transportation,Increasing,High,63162.12,PhD,2,457,5691,42.49,45.86,UK,69.27
Materials engineer,Education,Decreasing,Moderate,56113.69,Masters Degree,7,7736,5080,41.23,51.19,Germany,60.55
"Secretary, company",Transportation,Decreasing,Moderate,89501.53,Bachelors Degree,20,8728,807,51.6,78.45,China,69.63
Investment analyst,Entertainment,Increasing,Moderate,102706.75,Masters Degree,19,4939,9981,71.43,42.39,India,30.62
Site engineer,Retail,Increasing,High,66988.3,Masters Degree,14,968,7794,71.87,67.87,Canada,27.64
Advice worker,Manufacturing,Decreasing,Moderate,66291.56,High School,14,4451,3075,54.62,70.84,Canada,57.79
Oceanographer,Retail,Decreasing,Low,58282.99,PhD,3,9135,369,72.34,26.02,Australia,77.44
"Teacher, secondary school",Retail,Decreasing,Moderate,31558.2,Bachelors Degree,0,9690,4465,59.8,70.07,Germany,48.85
Sales promotion account executive,Entertainment,Decreasing,Moderate,81488.92,Associate Degree,19,8867,5783,61.7,61.98,Germany,23.32
Best boy,IT,Decreasing,Low,115025.07,PhD,15,5878,692,91.14,19.15,Brazil,51.85
Psychotherapist,Retail,Decreasing,High,65279.8,Bachelors Degree,13,2471,2333,44.93,73.6,USA,36.03
Make,Finance,Decreasing,Moderate,53774.32,Associate Degree,5,5337,2619,82.11,51.8,Canada,37.68
Barrister's clerk,Transportation,Decreasing,Moderate,64852.9,Masters Degree,2,1336,1661,49.96,47.95,Brazil,22.63
Licensed conveyancer,Entertainment,Decreasing,High,92905.12,Masters Degree,15,5042,1959,63.67,64.25,UK,35.49
"Engineer, petroleum",Manufacturing,Decreasing,Moderate,49802.28,Associate Degree,5,5669,1582,37.18,58.87,Germany,35.82
Chief Executive Officer,Education,Increasing,Low,61821.37,Masters Degree,8,1233,2355,59.14,40.16,Canada,32.76
Pension scheme manager,Retail,Increasing,Moderate,34138.79,Bachelors Degree,0,1454,5938,80.08,64.63,Australia,23.76
Industrial buyer,Retail,Decreasing,High,77945.22,PhD,7,8233,928,92.38,40.93,Australia,77.69
Fitness centre manager,Education,Increasing,High,28000,High School,4,1823,7860,64.4,81.87,UK,43.91
Forensic scientist,Retail,Decreasing,High,80917.59,PhD,14,6697,3631,80.57,42.5,India,62.79
Mudlogger,Manufacturing,Decreasing,Low,52299.02,Associate Degree,3,6777,2501,39.93,59.38,Germany,43.74
Physiological scientist,IT,Decreasing,Moderate,102401.52,Bachelors Degree,14,7739,5078,77.36,55.09,Germany,32.86
"Journalist, broadcasting",IT,Increasing,High,54263.15,High School,5,788,5855,86.23,75.27,Germany,62.82
Financial planner,IT,Increasing,Moderate,80071.38,Masters Degree,1,546,7668,100,32.59,Canada,68.13
Technical author,Manufacturing,Decreasing,High,66509.5,Bachelors Degree,16,861,1188,78.59,85.4,India,36.42
"Scientist, marine",Entertainment,Decreasing,High,75960.96,PhD,7,8910,5618,47.26,66.84,Canada,24.2
Writer,Healthcare,Decreasing,Low,101888.36,PhD,14,5892,3970,65.09,62.8,Brazil,25.92
"Editor, film/video",Manufacturing,Increasing,Moderate,110031.97,PhD,19,1130,6064,75.28,45.14,India,39.62
"Engineer, civil (consulting)",Manufacturing,Increasing,Moderate,28000,High School,4,1251,5663,71.25,78.77,Canada,32.49
English as a foreign language teacher,Finance,Increasing,Moderate,75578.28,Associate Degree,15,5142,9950,79.46,67.27,India,29.71
Insurance account manager,Entertainment,Decreasing,High,51769.9,High School,16,9293,1117,48.22,85.4,UK,22.59
Gaffer,Finance,Increasing,Moderate,95825.1,PhD,4,6326,8724,96.18,33.99,UK,45.41
"Designer, interior/spatial",Manufacturing,Decreasing,Low,47334.21,Associate Degree,4,6977,2372,35.97,68.94,India,20.41
"Geologist, wellsite",Education,Decreasing,High,86101.36,PhD,13,7053,2172,60.6,57.75,Australia,45.09
Animator,Retail,Increasing,Low,48412.33,Bachelors Degree,9,4310,9302,65.71,54.31,India,56.68
Barrister,IT,Increasing,Moderate,104773.14,Bachelors Degree,19,2240,9816,80.75,45.89,Brazil,46.02
Telecommunications researcher,Finance,Increasing,High,78542.31,High School,17,1863,9125,100,86.23,India,49.56
Print production planner,Healthcare,Increasing,High,92457.16,Masters Degree,14,6695,8105,66.69,38.74,UK,64.49
International aid/development worker,Education,Increasing,Low,28000,High School,0,652,6065,29.24,73.1,China,48.2
Seismic interpreter,IT,Increasing,Low,113313.76,PhD,12,433,6810,83.64,41.11,China,73.74
Youth worker,IT,Decreasing,Low,80949.88,Associate Degree,12,4976,5946,54.06,56.81,India,61.59
Lexicographer,Entertainment,Increasing,High,58110.08,Bachelors Degree,5,534,3788,53.37,66.46,USA,66.37
"Psychologist, occupational",Education,Decreasing,Low,58565.03,Masters Degree,5,4073,2514,44.85,47.77,Brazil,22.98
Insurance claims handler,Transportation,Decreasing,Low,110955.71,Masters Degree,20,8717,9159,59.71,48.86,China,29.56
Occupational psychologist,Healthcare,Increasing,Moderate,64919.57,Associate Degree,5,984,9615,49.75,65.58,Canada,46.94
"Engineer, production",Healthcare,Decreasing,Low,60632.72,High School,10,2329,4272,56.01,82.52,Canada,48.11
Tourism officer,Entertainment,Decreasing,High,94467.31,Bachelors Degree,20,8399,5455,77.27,57.9,Canada,46.61
"Accountant, chartered certified",Retail,Decreasing,High,71735.64,PhD,13,6191,1459,81.33,56.67,India,50.87
Nutritional therapist,Education,Increasing,High,67065.79,Masters Degree,10,3444,4682,83.54,62.78,Australia,43.4
Immigration officer,Finance,Decreasing,High,71231.14,PhD,2,9422,1248,90.42,57.45,Australia,22.51
Broadcast journalist,Entertainment,Decreasing,Low,65480,Associate Degree,16,4561,6481,48.58,70.97,Germany,35.52
Theatre stage manager,Finance,Increasing,High,69668.2,High School,15,1500,8115,68.54,91.46,Brazil,74.05
"Scientist, marine",Healthcare,Decreasing,Moderate,90811.39,PhD,9,8045,2701,52.67,39.57,India,58.55
Research scientist (maths),Retail,Increasing,High,83655.07,Masters Degree,18,4851,6457,65.34,50.83,Canada,43.77
Financial manager,Education,Decreasing,High,60075.85,High School,15,3018,3525,30.46,75.34,Canada,56.77
"Teacher, primary school",Healthcare,Decreasing,High,58232.49,Associate Degree,11,5755,362,47.43,85.68,Germany,79.26
Advice worker,IT,Increasing,Moderate,103589.45,Masters Degree,15,4816,6354,69.95,50.72,China,36.35
Health and safety adviser,Transportation,Increasing,Moderate,61764.55,High School,17,342,9790,50.45,83.08,China,23.98
Community pharmacist,Manufacturing,Decreasing,Low,80474.37,PhD,2,7578,5632,46.64,44.63,UK,49.78
Careers information officer,Entertainment,Decreasing,Low,89617.14,Masters Degree,14,1626,238,38.28,51.87,USA,63.88
Optometrist,Healthcare,Decreasing,Low,103996.1,Bachelors Degree,20,4899,812,54.13,51.84,China,22.49
Chief Executive Officer,Healthcare,Decreasing,Low,82242.23,Associate Degree,7,9996,1279,29.76,45.42,Brazil,35.9
Clinical research associate,Finance,Increasing,Low,104235.42,Masters Degree,14,4496,8500,92.85,37.87,China,74.85
